Актау	актаусцы
Актюбинск	актюбинцы
Алматы	алматинцы
Астана	астанчане
Атырау	атыраусцы
Караганда	карагандинцы
Кокшетау	кокшетауцы
Костанай	костанайцы
Кызылорда	кызылординцы
Павлодар	павлодарцы
Петропавловск	петропавловцы
Рудный	рудничане
Семей	семейчане
Тараз	таразцы
Уральск	уральцы
Усть-Каменогорск	устькаменогорцы
Шымкент	шымкентцы
Винница	винничане
Днепропетровск	днепропетровчане
Донецк	дончане
Житомир	житомиряне
Запорожье	запорожцы
Ивано-Франковск	ивано-франковцы
Киев	киевляне
Кировоград	кировоградцы
Кривой	криворожане
Луганск	луганчане
Луцк	лучане
Львов	львовяне
Мариуполь	мариупольцы
Николаев	николаевцы
Одесса	одесситы
Полтава	полтавчане
Припять	припятчане
Ровно	ровенчане
Сумы	сумчане
Тернополь	тернопольчане
Ужгород	ужгородцы
Харьков	харьковчане
Херсон	херсонцы
Хмельницкий	хмельничане
Черкассы	черкасцы
Чернигов	черниговцы
Чернобыль	чернобыльцы
Черновцы	черновчане
