Актау	актаусцы	актаинцы
Астана	астанчане	астанцы
Атырау	атыраусцы	атыраинцы
Караганда	карагандинцы	карагандийцы
Кокшетау	кокшетауцы	кокшетаинцы
Кызылорда	кызылординцы	кызылоржане
Петропавловск	петропавловцы	петропавловчане
Рудный	рудничане	рудныйцы
Семей	семейчане	семейцы
Уральск	уральцы	уральчане
Винница	винничане	винницинцы
Донецк	дончане	донечане
Житомир	житомиряне	житомирцы
Запорожье	запорожцы	запорожьинцы
Ивано-Франковск	ивано-франковцы	иванофранковчане
Киев	киевляне	киевцы
Кривой	криворожане	кривойцы
Львов	львовяне	львовцы
Одесса	одесситы	одессинцы
Полтава	полтавчане	полтавичи
Припять	припятчане	припятцы
Ровно	ровенчане	ровнинцы
Сумы	сумчане	суминцы
Тернополь	тернопольчане	тернопольцы
Харьков	харьковчане	харьковцы
Хмельницкий	хмельничане	хмельницкийцы
Черкассы	черкасцы	черкассинцы
18	
